number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5448408871745419,2025-07-12 11:47:31.733001,2025-07-12 11:50:30.199943,0 days 00:02:58.466942,64,0.40529105928421194,0.0018809753918096282,6.0488261650521596e-05,COMPLETE
1,0.549662487945998,2025-07-12 11:50:30.224813,2025-07-12 11:53:28.352925,0 days 00:02:58.128112,64,0.14951572065011165,0.0026595954030410873,0.002040136370991404,COMPLETE
2,0.43008678881388623,2025-07-12 11:53:28.382098,2025-07-12 11:56:26.226740,0 days 00:02:57.844642,64,0.3311591855294236,2.3718166887592533e-05,0.0024341872217658795,COMPLETE
3,0.40115718418514945,2025-07-12 11:56:26.248928,2025-07-12 11:59:24.128922,0 days 00:02:57.879994,64,0.24465498310535785,1.282231052461833e-05,0.00014285267881582737,COMPLETE
4,0.4455159112825458,2025-07-12 11:59:24.152519,2025-07-12 12:02:22.048156,0 days 00:02:57.895637,64,0.3644204341635874,2.9098397361270202e-05,0.0005611590954805188,COMPLETE
5,0.5303760848601736,2025-07-12 12:02:22.077303,2025-07-12 12:05:20.133032,0 days 00:02:58.055729,64,0.2958174504711076,0.00017452741449305327,8.037541849917228e-05,COMPLETE
6,0.5400192864030858,2025-07-12 12:05:20.156894,2025-07-12 12:08:18.175003,0 days 00:02:58.018109,64,0.47919683259223356,0.00020354541326995164,0.0014404239320006866,COMPLETE
7,0.549662487945998,2025-07-12 12:08:18.200585,2025-07-12 12:10:48.091465,0 days 00:02:29.890880,32,0.37690903712594737,0.002299843996626976,0.00018035363487118515,COMPLETE
8,0.4927675988428158,2025-07-12 12:10:48.115437,2025-07-12 12:12:31.547674,0 days 00:01:43.432237,32,0.1199884748044962,0.009508471204296879,0.00018419682854425864,COMPLETE
9,0.25940212150433944,2025-07-12 12:12:31.571790,2025-07-12 12:12:35.181425,0 days 00:00:03.609635,64,0.3824810916212077,8.949950341959761e-05,1.6033607904570431e-06,PRUNED
10,0.36933461909353904,2025-07-12 12:12:35.197925,2025-07-12 12:13:26.313153,0 days 00:00:51.115228,16,0.1028904097954057,0.0009753799580372127,0.0078138433034535,PRUNED
11,0.523625843780135,2025-07-12 12:13:26.331799,2025-07-12 12:15:06.280406,0 days 00:01:39.948607,32,0.204964486662162,0.0042863752165786485,1.4512707210885581e-05,COMPLETE
12,0.42815814850530376,2025-07-12 12:15:06.303836,2025-07-12 12:15:59.775502,0 days 00:00:53.471666,32,0.20991660418657032,0.0007426318018936114,0.008403604694336021,PRUNED
13,0.5776277724204436,2025-07-12 12:15:59.795569,2025-07-12 12:19:02.422873,0 days 00:03:02.627304,16,0.45121775832701777,0.0024996892174581026,1.4605754991230218e-05,COMPLETE
